사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,1호선,1,서울역,630,11,8985,7058,12028,40803,36492,93181,61857,196998,48518,131911,49785,67104,57296,57503,67212,64828,68923,62027,59146,58165,78671,61463,88156,65725,136669,75650,198548,82448,93839,51787,65417,34209,70807,29311,46511,21788,17275,12360,101,1257,1,3,2,2,0,0
2021-11,1호선,10,동묘앞,141,1,2570,907,3387,4074,5711,7976,9492,20213,7707,16905,8586,18424,12140,24629,18157,27618,24695,30966,29042,28726,32042,24195,34642,17024,29570,11763,17697,8988,7597,6173,4948,4434,4545,4032,3070,4587,1055,2974,8,2017,0,2,0,0,0,0
2021-11,1호선,2,시청,30,0,2006,4859,2980,19785,6504,57521,8275,173717,8576,83121,9894,35008,15611,34889,17230,30807,20617,27847,28214,25240,37716,21714,44129,20124,75744,20612,142785,20226,51305,9055,42181,5305,40637,4545,26627,3323,7600,2196,65,309,0,0,0,0,0,0
2021-11,1호선,3,종각,118,1,2639,3960,3158,20401,5614,89885,9209,225883,10921,131732,15255,53438,23410,48848,27245,42754,34266,41537,43394,36689,55193,30966,63363,32576,120935,39659,193714,47591,78985,22737,67652,9433,77099,6235,60282,4433,24111,2786,212,321,0,0,0,0,0,0
2021-11,1호선,4,종로3가,223,21,3177,3136,3328,12386,4372,22852,8154,66753,11130,67243,17687,55665,29721,58712,37175,60339,45818,59438,53167,52444,62617,43443,67320,37918,77902,34941,93097,36455,54629,17660,41183,7746,44802,5897,36716,4343,13681,3463,135,914,0,1,1,0,0,0
2021-11,1호선,5,종로5가,28,0,1476,3763,2574,15812,4799,37863,7469,96874,10539,61744,16598,47249,25089,48892,32307,46829,38840,45135,47685,42855,53028,35700,58567,30585,75468,26306,94078,22896,45414,12372,29943,5881,26287,4399,17870,3124,5111,2014,47,611,0,0,0,0,0,0
2021-11,1호선,6,동대문,782,14,12451,2166,8849,6242,14133,10756,19586,22687,16773,22168,15451,20010,17234,22253,19964,22164,21447,21687,23926,21255,25345,19720,27255,18153,25478,17790,22606,18178,14952,18367,12261,12552,11322,10218,9698,9280,3540,8790,47,1776,0,0,0,0,0,0
2021-11,1호선,7,신설동,327,8,8031,2831,7820,10278,16712,22696,24617,62491,17378,33687,15449,21235,17555,17985,19086,17874,20980,19394,21407,17441,24321,17567,30656,18299,41297,21270,55999,26042,20452,17205,13553,11351,11922,10451,8646,9498,2889,7668,39,1222,0,0,0,0,0,0
2021-11,1호선,8,제기동,294,10,4682,2011,7839,8190,20349,18374,30429,38617,21229,31322,23714,36350,31461,42282,37700,42876,40056,45278,43614,44497,47632,37311,44470,29224,40837,23642,35070,25013,15032,16745,9806,10671,8338,9836,5364,9193,2010,6064,36,800,0,0,0,0,0,0
2021-11,1호선,9,청량리(서울시립대입구),1000,10,10265,4662,13987,20004,34484,16385,45105,34899,30039,31052,27965,33556,31154,37528,36151,38130,38096,41346,41270,44511,45352,42629,50588,38119,47620,38495,37958,45190,20018,29969,15665,17225,11607,16324,7359,14670,2688,8574,79,1596,0,0,0,0,0,0
2021-11,2호선,11,시청,7,0,774,1623,1683,15242,4760,56609,7123,200771,9105,87622,11993,27360,17998,24858,18118,23124,21449,22715,28034,21732,34951,19450,39018,16135,84008,17691,164891,18539,51468,8315,36922,4451,34875,3939,23076,3273,6885,2642,32,293,1,2,0,0,0,0
2021-11,2호선,12,을지로입구,93,0,1832,2005,2800,23553,7900,107789,13631,298283,14169,141572,17190,61100,25432,55036,30025,43448,39447,41039,46889,38213,57920,33927,68655,34288,139992,40889,244107,45000,96518,21633,85264,11975,59149,10670,43047,9814,13653,6219,8,3727,0,1,0,0,0,0
2021-11,2호선,13,을지로3가,12,1,915,1884,2047,17783,5118,61885,9644,153450,10613,72705,12412,31308,16989,24842,18751,24694,23038,26691,26396,22900,29262,20645,36814,21665,79183,26514,128501,33095,50751,16940,35136,8123,38982,6343,37289,5480,17449,3768,20,415,0,1,0,0,0,0
2021-11,2호선,14,을지로4가,10,0,871,1223,1523,12358,3328,31623,6520,81230,6800,41372,8720,22830,12367,20141,14632,18001,16784,18262,19869,16826,23943,15361,28031,13022,53469,11754,68514,11570,28792,6433,15229,3475,12842,2973,9316,2797,3416,1985,6,216,0,0,0,0,0,0
2021-11,2호선,15,동대문역사문화공원(DDP),383,2,6042,1077,4558,7510,6705,19389,9922,49873,9338,31365,10368,25128,13373,24262,16604,23822,17027,23492,20366,22700,25329,20024,31445,18187,39392,18953,40834,23090,23269,22172,16775,13841,18663,10738,13123,8492,4894,7221,10,1106,1,0,0,0,0,0
2021-11,2호선,16,신당,61,10,6176,1072,10687,8182,25800,16145,43610,33147,24992,22617,17283,18030,16677,18391,18957,18950,20011,19521,20311,20204,21473,21707,24753,25053,30398,32934,32486,45961,20197,28939,15209,17796,13632,16203,10981,15177,4526,10400,9,399,0,0,0,0,0,0
2021-11,2호선,17,상왕십리,93,2,5340,596,12637,5521,37345,11260,61510,35696,33881,19011,19968,13427,18213,12016,19058,13897,18484,15341,17465,15736,18738,18103,20378,22914,25801,32597,28301,51834,17237,33251,12265,20743,10659,19194,7249,18361,2192,12000,2,319,0,1,0,0,0,0
2021-11,2호선,18,왕십리(성동구청),871,2,7144,1102,9562,5355,24877,12547,44975,26372,27887,18257,17919,13952,19343,14672,20824,16711,21697,17837,22444,18329,24800,19508,28750,23580,35720,33938,37875,55501,22797,33386,21191,19093,23499,17271,25933,16431,12348,13065,26,656,0,1,0,0,0,0
2021-11,2호선,19,한양대,3,0,871,273,2080,5304,4767,10878,8489,43030,5808,33182,6153,20842,12283,15490,11724,18946,11652,16358,12571,14592,18650,13465,21738,10192,34099,10672,34710,11721,13426,6821,10261,4699,10403,4334,8485,4210,3508,3270,2,151,0,0,0,0,0,0
2021-11,2호선,20,뚝섬,30,4,3434,1886,7507,13588,17748,34284,25924,132734,17197,92049,13466,38453,14611,26731,17645,28180,21320,30291,24343,26521,29929,27267,39147,28474,65989,32587,123737,42914,59804,25071,36817,12890,34819,10901,25109,10071,7456,6934,25,418,0,0,0,0,0,0
2021-11,2호선,21,성수,75,0,5684,3637,9093,29159,22292,73392,30261,268384,22544,150738,20287,54597,21680,41400,26471,42983,31677,46033,36648,43370,43413,44176,57439,44576,112254,50269,233404,60133,99956,34771,60855,17041,57986,13555,44526,12490,14134,12474,30,5071,1,1,0,0,0,0
2021-11,2호선,22,건대입구,326,10,15794,2044,21149,20292,51152,24823,90892,60636,60202,46561,33912,37553,33745,40950,38466,49275,41281,55586,42819,54767,48819,60398,58849,73148,73320,104808,84412,157464,60210,103687,58826,57859,66711,52101,71142,46220,35612,28348,79,4974,2,2,1,1,0,0
2021-11,2호선,23,구의(광진구청),67,4,12602,1118,25003,10583,64551,15198,113700,40322,64873,23782,33406,18755,28216,19279,29241,21979,28328,23873,25995,25575,26431,33079,31417,38077,36096,54173,43047,93569,21935,66421,16271,40758,15734,38731,14022,36401,6030,20557,31,2047,0,0,0,0,0,0
2021-11,2호선,24,강변(동서울터미널),15,0,8267,2077,25342,20361,73404,25470,109576,46233,76891,37312,55886,35016,50671,33607,48779,38071,47118,41655,43188,46096,45193,51768,48283,57951,54447,74437,61671,108844,43603,77642,33789,48994,26600,41855,17001,38063,5854,20039,23,1807,0,0,0,0,0,0
2021-11,2호선,25,잠실나루,6,0,2816,1668,10647,9297,36140,21408,46266,38408,27654,25936,22116,17626,21529,15305,21005,19343,19310,19134,21091,18681,22256,17297,28595,18767,34795,24820,29854,38433,13744,28063,10028,16380,7433,15835,5498,15160,1871,8313,11,740,0,1,0,1,0,0
2021-11,2호선,26,잠실(송파구청),99,25,10482,4845,44146,38589,106297,71778,155321,162399,111628,148761,73892,99882,73440,97409,80391,94585,85881,96662,90557,96770,102006,105413,125292,119525,168259,154557,209719,219996,138887,140262,145172,84449,122688,79480,86757,72791,21434,42920,87,3633,0,0,0,0,0,0
2021-11,2호선,27,잠실새내,34,1,4357,797,15249,9568,50949,15925,71481,27702,42433,29496,28379,22268,26557,23431,28287,26910,28599,29323,27024,29707,30684,35595,33458,40005,37302,54910,39613,83103,27810,55713,24622,30527,24072,26357,24054,24770,11002,13969,30,1451,1,1,0,0,0,0
2021-11,2호선,28,종합운동장,2,0,1457,943,5346,7285,15041,13928,22408,23875,15888,12564,10274,8823,9744,7871,9844,12002,9632,16386,9312,12696,11025,13308,15925,17211,22912,35018,21043,48043,9360,19275,9781,9622,17603,9603,36548,9586,3061,5437,23,731,0,1,1,1,0,0
2021-11,2호선,29,삼성(무역센터),136,2,4089,5124,6704,38724,14045,122641,19950,326589,20382,243732,22500,102763,33259,74563,41239,66102,54963,72411,66062,63521,83680,54774,107421,51965,196517,56226,300667,61538,150764,33603,107327,15833,91099,13107,64111,11054,14379,7018,11,4117,0,0,0,0,0,0
2021-11,2호선,30,선릉,79,5,4139,6266,9867,39668,19455,103446,30494,277587,29556,226860,33416,100401,43025,64011,51393,56620,60462,62331,70105,52346,90050,47715,119525,45263,185305,51459,290840,56418,138345,32783,84706,18534,82780,16060,71587,14488,22053,10111,25,519,0,0,0,0,0,0
2021-11,2호선,31,역삼,19,1,3343,6538,7898,37652,14770,124348,25430,332036,21854,307189,22712,122461,31102,64739,37982,55810,45540,59680,54776,49392,71894,44480,94569,43270,192363,51398,287726,61604,147879,34511,80431,18887,79153,15095,63972,13072,18651,8730,26,211,1,0,0,0,0,0
2021-11,2호선,32,강남,219,4,8681,10474,17040,48420,36970,134376,64022,310431,50557,318239,49286,147977,65524,105735,81700,105018,96001,121180,105489,106728,132929,101536,153274,110361,239827,146207,332029,205453,202805,117181,154586,55556,184097,42434,180028,36659,71371,24139,87,637,1,1,0,0,0,0
2021-11,2호선,33,교대(법원.검찰청),8,0,2301,7082,11282,24589,23697,50070,34802,149977,27565,143379,26211,67644,31883,55373,34834,50982,42599,54082,51082,49208,56593,46497,61644,48175,98134,60121,143622,74317,64879,42325,50525,22152,54248,19732,44749,17951,15442,12576,41,418,0,0,1,1,0,0
2021-11,2호선,34,서초,61,0,1439,4231,10420,19563,17410,47364,25814,119056,26401,92892,19592,39882,24602,28586,23832,22578,29795,24737,31671,22373,36914,19814,44129,21168,71644,22935,102192,24612,44199,16044,27081,9296,27881,8748,17421,8815,5461,5097,9,62,0,0,0,0,0,0
2021-11,2호선,35,방배,10,0,2260,2824,8827,10988,21280,25660,31710,75885,24798,50720,17973,25347,19023,22889,21853,22424,23798,24299,24608,23441,28261,22934,33445,24545,45081,30873,68721,39177,28599,27115,20699,16651,21244,15089,16711,15163,5862,8642,11,269,0,0,0,0,0,0
2021-11,2호선,36,사당,78,6,11058,3550,24023,28283,67943,41223,101842,65307,71041,50945,44903,40489,40371,47185,46963,47502,49142,47554,51520,47092,52905,56205,57571,75465,71051,110284,91887,162555,60680,109758,53983,61664,60584,56499,59483,56453,25801,38613,109,3668,0,0,0,0,0,0
